product_id,product_origin_id,reviewEval,reviewEvalValues,reviewTopic
4125465964,[믿쓰템] 로리앤첼 글로리어스 재생 수분크림 50ml,트러블,"조금 있었어요,4-잘 모르겠어요,13-전혀 없었어요,11",트러블 개선-사용감-효과
4125465964,[믿쓰템] 로리앤첼 글로리어스 재생 수분크림 50ml,제형,"되직해요,1-적당해요,25-묽어요,2",트러블 개선-사용감-효과
4125466727,로리앤첼 글로리어스 에센스 앰플 80ml,수분감,"건조해요,0-보통이에요,4-촉촉해요,7",트러블 개선-사용감-효과
4125466727,로리앤첼 글로리어스 에센스 앰플 80ml,트러블,"조금 있었어요,1-잘 모르겠어요,6-전혀 없었어요,4",트러블 개선-사용감-효과
4125466727,로리앤첼 글로리어스 에센스 앰플 80ml,제형,"되직해요,0-적당해요,7-묽어요,4",트러블 개선-사용감-효과
2823145589,뷰티영 미스틱 블루 수분크림 50ml,수분감,"건조해요,0-보통이에요,9-촉촉해요,68",향기-트러블 개선-만족도-용량-사용감-성분-효과
2823145589,뷰티영 미스틱 블루 수분크림 50ml,트러블,"조금 있었어요,0-잘 모르겠어요,14-전혀 없었어요,63",향기-트러블 개선-만족도-용량-사용감-성분-효과
2823145589,뷰티영 미스틱 블루 수분크림 50ml,제형,"되직해요,1-적당해요,73-묽어요,3",향기-트러블 개선-만족도-용량-사용감-성분-효과
1002135064,뷰티클로 노니 프레쉬 밸런스 스킨토너 200ml,수분감,"건조해요,5-보통이에요,155-촉촉해요,321",트러블 개선-사용감-만족도-가격-성분-효과
1002135064,뷰티클로 노니 프레쉬 밸런스 스킨토너 200ml,트러블,"조금 있었어요,14-잘 모르겠어요,119-전혀 없었어요,348",트러블 개선-사용감-만족도-가격-성분-효과
1002135064,뷰티클로 노니 프레쉬 밸런스 스킨토너 200ml,제형,"되직해요,2-적당해요,228-묽어요,251",트러블 개선-사용감-만족도-가격-성분-효과
1002134945,뷰티클로 시카 알로에  젤 100ml,수분감,"건조해요,4-보통이에요,20-촉촉해요,42",사용감-성분-트러블 개선-만족도-가격-효과
1002134945,뷰티클로 시카 알로에  젤 100ml,트러블,"조금 있었어요,2-잘 모르겠어요,11-전혀 없었어요,53",사용감-성분-트러블 개선-만족도-가격-효과
